file	width	height	mode
avatar/frog_profile_avatar.png	252	258	RGBA
background/page_paper_bg_1260x2256.png	1260	2256	RGB
cards/menu_panel_bg.png	1104	879	RGBA
cards/menu_row_bg.png	1104	201	RGBA
cards/profile_card_bg.png	1104	360	RGBA
decoration/bottom_camp_frog_landscape.png	1209	426	RGBA
icons/back.png	84	78	RGBA
icons/chevron_right.png	51	69	RGBA
icons/settings.png	114	117	RGBA
menu/about_us.png	96	108	RGBA
menu/help_feedback.png	96	105	RGBA
menu/my_favorites.png	96	99	RGBA
menu/my_routes.png	96	105	RGBA
menu/offline_map.png	96	108	RGBA
navigation/bottom_nav_tray.png	1212	210	RGBA
navigation/home.png	99	96	RGBA
navigation/map.png	96	93	RGBA
navigation/profile_selected.png	138	120	RGBA
navigation/records.png	99	93	RGBA
navigation/report.png	96	96	RGBA
